No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
195,MASJID AS SAADAH,"PEKAN BERUAS, 32700 BERUAS, PERAK DARUL RIDZUAN",PERAK,MANJUNG,174989517,
196,MASJID AT TAUFIQIAH,"KG. PINTU GERBANG, 32700 BERUAS PERAK DARUL RIDZUAN",PERAK,MANJUNG,135314453,
197,MASJID AZ ZAKIAH,"KG. TANJUNG KEPAH LEKIR, 32020 SITIAWAN, PERAK DARUL RIDZUAN",PERAK,MANJUNG,012-4580827,
198,MASJID DARUL NAIM,"KG.BAKAR BATA, 32400 AYER TAWAR, PERAK DARUL RIDZUAN",PERAK,MANJUNG,125629154,
199,MASJID EHSANIAH,"PADANG SERAI, BATU HAMPAR, 32700 BERUAS PERAK DARUL RIDZUAN",PERAK,MANJUNG,195704568,
200,MASJID HASSANIAH,"178A,KAMPUNG PANCHOR, 34900 PANTAI REMIS PERAK DARUL RIDZUAN",PERAK,MANJUNG,175092273,
201,MASJID IKRAMIAH,"KG. KAYAN,LEKIR 32030 SITIAWAN, PERAK DARUL RIDZUAN",PERAK,MANJUNG,125078323,
202,MASJID JAMEK KG. KEDAH,"KG. KEDAH, 32700 BERUAS, PERAK",PERAK,MANJUNG,175336671,
203,MASJID AL-KHAIRIAH,"KG. BATU 14, LEKIR, 32020 SITIAWAN PERAK DARUL RIDZUAN",PERAK,MANJUNG,195655024,
204,MASJID KHAIRUL HUDA,KG. DENDANG 32700 BERUAS PERAK DARUL RIDZUAN,PERAK,MANJUNG,135282789,
205,MASJID KHAIRUL JARIAH,BATU 9 SEGARI 32200 PENGKALAN BARU PERAK DARUL RIDZUAN,PERAK,MANJUNG,125920207,
206,MASJID NURUL TAKZIM,"KG. BAHARU ( L ) 32400 AYER TAWAR, PERAK DARUL RIDZUAN",PERAK,MANJUNG,125071603,
207,MASJID MUHAMMADIAH,"KAMPONG KOTA, 32700 BERUAS PERAK DARUL RIDZUAN",PERAK,MANJUNG,134307444,
208,MASJID AN-NAWAWI,"PENGKALAN BHARU, 34900 PANTAI REMIS PERAK DARUL RIDZUAN",PERAK,MANJUNG,012-4846659,
209,MASJID NURUL HIDAYAH,"MASJID DAERAH MANJUNG,32040 SERI MANJUNG,PERAK DARUL RIDZUAN",PERAK,MANJUNG,05-6884372,
210,MASJID POROYAH,"KG. TELAGA NENAS, 32400 AYAR TAWAR, PERAK DARUL RIDZUAN",PERAK,MANJUNG,129037891,
211,MASJID AR-RAHMANIAH,"KG. SUNGAI WANGI, 32400 AYER TAWAR PERAK DARUL RIDZUAN",PERAK,MANJUNG,136369516,
212,MASJID SULTAN ALANG ISKANDAR SHAH,"KG. DATO SERI KAMARUDIN, 32040 SERI MANJUNG, PERAK",PERAK,MANJUNG,195751508,
213,MASJID SULTAN IDRIS SHAH 1,"KG. CHANGKAT KERUING, 32500 CHANGKAT KERUING, PERAK",PERAK,MANJUNG,177455425,
214,MASJID SULTAN IDRIS SHAH II,KG. TELUK MUROH 32200 LUMUT PERAK,PERAK,MANJUNG,125088204,
215,MASJID TELOK RAJA BAYANG,PEKAN PANGKOR 32300 PULAU PANGKOR PERAK,PERAK,MANJUNG,012-5702457,
216,MASJID AL AMIN,"KG. SELINSING 34400 SIMPANG EMPATSEMANGGOL, PERAK",PERAK,BAGAN SERAI,017 4177209,
217,MASJID AL ANSAR,"KG. BALIK BUKIT, JALAN KERIAN 34020 TAIPING, PERAK",PERAK,BAGAN SERAI,017 5709572,
218,MASJID AL EHSANIAH,"PARIT 3, JALAN GULA 34400SIMPANG EMPAT SEMANGGOL, PERAK",PERAK,BAGAN SERAI,0111 8462365,
219,MASJID AN NAJIHAH,"SUNGAI KEPAR, 34400 SIMPANG EMPAT SEMANGGOL, PERAK",PERAK,BAGAN SERAI,019 5129114,
220,MASJID AN NUR,"KAMPUNG BUKIT SEMANGGOL,34400 SIMPANG EMPAT SEMANGGOL,PERAK",PERAK,BAGAN SERAI,012 5177920,
221,MASJID PERMAISURI TUANKU HAJAH HAMINAH,"KAMPONG MATANG JELUTONG, BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,013 5135344,
222,MASJID AS SYUHUDIAH,SUNGAI SEMAMBU JALAN SELAMA 34300 BAGAN SERAI PERAK,PERAK,BAGAN SERAI,017 5842506,
223,MASJID JAMEK MATANG GERDU,"KAMPUNG MATANG GERDU 34300 BAGAN SERAI,PERAK",PERAK,BAGAN SERAI,57212694,
224,MASJID JAMEK SG. BOGAK,"KAMPUNG SG. BOGAK 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,012 489 6040,
225,MASJID JAMEK SIMPANG EMPAT SEMANGGOL,34400 SIMPANG EMPAT SEMANGGOL PERAK,PERAK,BAGAN SERAI,019 571 0915,
226,MASJID JAMEK SUNGAI DUNGUN,"SUNGAI DUNGUN 34300 BAGAN SERAI,PERAK",PERAK,BAGAN SERAI,05-7216578,
227,MASJID AN-NUR,"KAMPUNG SAMA GAGAH SELINSING 34400 SIMPANG EMPAT SEMANGGOL, PERAK",PERAK,BAGAN SERAI,013 444 2681,
228,MASJID KAMPUNG DEW,"KAMPUNG DEW 34400 SEMANGGOL, PERAK",PERAK,BAGAN SERAI,013 386 9405,
229,MASJID KAMPONG TUA,"34400 SIMPANG EMPAT SEMANGGOL, PERAK",PERAK,BAGAN SERAI,,
230,MASJID AT-TAQWA,JALAN KUBU GAJAH 34400 SIMPANG 4 SEMANGGOL PERAK DARUL RIDZUAN,PERAK,BAGAN SERAI,019 451 5309,
231,MASJID AL MAHMUDIAH,"MATANG PASIR KM 12 JALAN SELAMA ALOR PONGSU 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,012 485 1796,
232,MASJID AL- ASWAD,"KAMPUNG PARIT AYER HITAM, ALOR PONGSU,34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,,
233,MASJID AT TARMIZI,"PARIT HAJI TAIB 2, 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,012-5244541,
234,MASJID JAMEK PARIT JAWA,"NO. 128, PARIT JAWA ATAS, 34300 BAGAN SERAI, PERAK",PERAK,BAGAN SERAI,013 509 5501,
235,MASJID AHMADIAH,"86,PARIT MAT ALI, 34250 KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,124719542,
236,MASJID AL - HUDA,"SUNGAI KOTA, 34250TANJUNG PIANDANG,PERAK",PERAK,PARIT BUNTAR,174299354,
237,MASJID AL -AMIN,"SUNGAI BURUNG, 34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,125093094,
238,MASJID AL - HIDAYAH,"PARIT TANJUNG PIANDANG, 34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,147429127,
239,MASJID AL - MAKMURIAH,"BATU 7, PARIT TOK KIP,34350 KUALA KURAU,PERAK",PERAK,PARIT BUNTAR,175364868,
240,MASJID AL - MUBARAK TELUK PIAL,"PARIT TELUK PIAL, 34350, KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,124181730,
241,MASJID AL-MUHAJIRIN,"NIBONG HANGUS, 34250 KUALA KURAU, PERAK.",PERAK,PARIT BUNTAR,124222086,
242,MASJID AS-SYAFIQ,"SUNGAI BARU, BATU 12, 34250 TG PIANDANG , PERAK",PERAK,PARIT BUNTAR,011-10815027,
243,MASJID AT - TAQWA,"BAGAN TIANG, 34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,165152069,
244,MASJID AL -TAUFIQIAH,"KUALA GULA, 34250 KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,1136308524,
245,MASJID AN - NUR BATU 14,"JALAN PANTAI, 34350 KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,57270827,
246,MASJID RAHMANIAH,"TEBOK JAWA, 34200, PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,013-5949907,
247,MASJID JAMEK BATU,"PARIT HAJI MANAN, 34350 KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,194259823,
248,MASJID HIJAU KAMPUNG KEDAH,"JALAN BESAR, KAMPUNG KEDAH, 34200 PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,174279590,
249,"MASJID JAMEK AL-AMANIAH, KEDAI 2","JALAN SIAKAP, 34250 KUALA KURAU, PERAK",PERAK,PARIT BUNTAR,133122135,
250,MASJID JAMEK PARIT TOK NGAH,"34350 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,189414269,
251,MASJID JAMEK TEBUK HAJI MUSA,"TEBUK HAJI MUSA, TITI SERONG, PERAK",PERAK,PARIT BUNTAR,017-5686189,
252,MASJID JAMEK TITI SERONG,"PEKAN TITI SERONG, 34200 PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,125211350,
253,MASJID JAMEK TANJUNG PIANDANG,"F 301, PEKAN TANJUNG PIANDANG, 34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,174534893,
254,MASJID JAMEK PEKAN KUALA KURAU,"JALAN BESAR, 34350 KUALA KURAU,PERAK",PERAK,PARIT BUNTAR,1110915465,
255,MASJID NURUL HUDA,"PARIT MAT ALAM, TITI SERONG, 34200, PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,174670208,
256,MASJID PARIT HAJI WAHAB,"TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,195429299,
257,MASJID JAMEK PARIT TOK HIN,"34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,196741452,
258,MASJID JAMEK SIMPANG LIMA,"34200 PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,162305395,
259,MASJID AL AHMADI,"SG LABU ATAS, 34250 TANJUNG PIANDANG, PERAK",PERAK,PARIT BUNTAR,124746524,
260,MASJID ASY SYAKIRIN,"JALAN SEMPADAN SUNGAI SETAR BATU 2, JALAN SEMPADAN 34200 PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,016-4443708,
261,MASJID KAMPUNG SAWA,"KAMPUNG SAWA, 33300 GERIK,PERAK.",PERAK,GERIK,1113393978,
262,MASJID NUR AL-HUDA,"KAMPUNG BELUM BARU,33320 GERIK,PERAK",PERAK,GERIK,134900405,
263,MASJID AL-ANSARI,"KAMPUNG MALAU, KENERING 33300 GERIK,PERAK",PERAK,GERIK,017-5681046,
264,MASJID AN-NUR,"KAMPUNG LAWIN, 33300 GERIK, PERAK",PERAK,GERIK,134727167,
265,MASJID MUKIM SUNGAI ASAP 'B',"18300 GUA MUSANG, KELANTAN.",KELANTAN,GUA MUSANG,,
266,MASJID NURUL IMAN,"FELDA LAWIN UTARA,33300 GERIK, PERAK.",PERAK,GERIK,010-7935637,
267,MASJID AL HIDAYAH,KPG MEDONG DALAT,SARAWAK,DALAT,-,-
268,MASJID AL MUSLIHIN,"JALAN MASJID, DALAT, MUKAH",SARAWAK,DALAT,-,-
269,MASJID AL HARUNIAH,"KAMPUNG BERSIA LAMA,33300 GERIK, PERAK",PERAK,GERIK,194254548,
270,MASJID AL-ISLAHIAH,"FELDA LAWIN SELATAN,33300 GERIK, PERAK",PERAK,GERIK,133190918,
271,MASJID MUHAJIRIN FELDA ULU JEMPOL,"FELDA ULU JEMPOL, 26400 JENGKA",PAHANG,JENGKA,,
272,MASJID AL-AMIN,"KAMPUNG TAWAI,GERIK, PERAK.",PERAK,GERIK,193814018,
273,MASJID NUR IMAN,"KAMPUNG TANJUNG RAMBAI, 33300 GERIK, PERAK.",PERAK,GERIK,05-7921571,
274,MASJID AT-TAQWA,"KAMPUNG AIR PANAS,33300 GERIK,PERAK",PERAK,GERIK,019-4637934,
275,MASJID AL-DINIAH,"KAMPUNG BENG,33400 LENGGONG, PERAK",PERAK,LENGGONG,05-7960819,
276,MASJID AL -ALIYAH,"KAMPUNG CHAIN 33400 LENGGONG, PERAK",PERAK,LENGGONG,05-7678562,
277,MASJID AL - EHSANIAH,"KAMPUNG BANGGOL BATU, 33400 LENGGONG, PERAK",PERAK,LENGGONG,017-4673587,
278,MASJID KARIAH KUALA SUNGAI DUA,72000 KUALA PILAH,N. SEMBILAN,KUALA PILAH,019-3741729,
279,MASJID AN - NUR,"KG KUAK , 33400 LENGGONG, PERAK",PERAK,LENGGONG,016-4071634,
280,MASJID DARUL FALAH,"KAMPUNG LUAT, 33400 LENGGONG, PERAK",PERAK,LENGGONG,013-4844108,
281,MASJID IRSYADIAH,"KAMPUNG BUKIT SAPI,33400 LENGGONG, PERAK",PERAK,LENGGONG,017-5330047,
282,MASJID ISLAHIAH,"KAMPUNG GELOK,33400 LENGGONG, PERAK",PERAK,LENGGONG,016-5036160,
283,MASJID JAMEK LENGGONG,"33400 LENGGONG, PERAK",PERAK,LENGGONG,05-7677363,
284,MASJID NUR HIDAYAH,"KAMPUNG TEMELONG LENGGONG, PERAK",PERAK,LENGGONG,05-7678540,
285,MASJID MUKIM FELDA ARING 6 & 7,"18300 GUA MUSANG, KELANTAN.",KELANTAN,GUA MUSANG,,
286,MASJID RAHMANIAH,"KAMPUNG CHEPOR, 33400 LENGGONG, PERAK",PERAK,LENGGONG,013-5054400,
287,MASJID UBUDIAH,"KAMPUNG SUMPITAN, 33400 LENGGONG, PERAK",PERAK,LENGGONG,013-4914242,
288,MASJID YAHAYA UBUDIAH,"KAMPUNG BANGGOL BELIMBING, 33400 LENGGONG, PERAK",PERAK,LENGGONG,05-7677554,
289,MASJID JAMEK AHMADIAH,"SIMPANG TIGA, 32800 PARIT , PERAK",PERAK,SERI ISKANDAR,135533809,
290,MASJID AL - EHSANIAH,"KAMPUNG TEPUS,32800 PARIT, PERAK",PERAK,SERI ISKANDAR,017 5351363,
291,MASJID KHAIRIAH,"KAMPUNG CHOPIN KIRI, 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,175552603,
292,MASJID AR - RAHMAH,"KAMPUNG EKOR, BOTA KIRI, 32600 BOTA PERAK",PERAK,SERI ISKANDAR,125075624,
293,MASJID AL-ATTAR,"KAMPUNG LAYANG - LAYANG KANAN,32800 PARIT , PERAK",PERAK,SERI ISKANDAR,174618690,
294,MASJID BARU KARIAH KG. KUCHAI,"32900 LAMBOR KIRI, PERAK",PERAK,SERI ISKANDAR,,
295,MASJID DAIMIAH,"KAMPUNG TANJUNG BELANJA, 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,125736192,
296,MASJID EHSANIAH,"KAMPUNG SERAPOH, 32800 PARIT , PERAK",PERAK,SERI ISKANDAR,012 5213346,
297,MASJID FADZLULLAH,"KAMPUNG TELOK KEPAYANG,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,,
298,MASJID AL FATA,"KAMPUNG PULAU PISANG,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,125075624,
299,MASJID AL MUHAJIRIN,"FELCRA NASARUDDIN BELIA, 32600 BOTA, PERAK",PERAK,SERI ISKANDAR,019 5082995,
300,MASJID GHOFRANIAH,"KAMPUNG CHOPIN KANAN, 32800 PARIT PERAK",PERAK,SERI ISKANDAR,195727103,
301,MASJID AL - GHOFRANIAH,"KAMPUNG TITI GANTUNG,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,,
302,MASJID ISKANDAR SHAH,"KAMPUNG AJI,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,,
303,MASJID AL JABARIAH,"KAMPUNG LAMBOR KIRI,32800 PARIT, PERAK",PERAK,SERI ISKANDAR,195055779,
304,MASJID JAMEK BOTA KANAN,"32600BOTA, PERAK",PERAK,SERI ISKANDAR,,05-3761022
305,MASJID JAUHARIAH,"KAMPUNG BELANJA KIRI, 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,175191962,
306,MASJID QARIAH KG AIR MATI,"KG AIR MATI 32600 BOTA, PERAK",PERAK,SERI ISKANDAR,,
307,MASJID TAUFIQIAH,KAMPUNG TELUK PERANG 32800 PARIT PERAK,PERAK,SERI ISKANDAR,125513819,
308,MASJID KASSIMIAH,"KAMPUNG SELAT LAYANG - LAYANG KIRI, 32800PARIT, PERAK",PERAK,SERI ISKANDAR,125231066,
309,MASJID KAMPONG LENGKUAS,"32800 PARIT, PERAK",PERAK,SERI ISKANDAR,014-3409625,
310,MASJID KAMPUNG RAJA,"32800 PARIT, PERAK",PERAK,SERI ISKANDAR,012 2478726,
311,MASJID LATIFIAH,"KAMPUNG SUNGAI KOROK, 32800 PARIT PERAK",PERAK,SERI ISKANDAR,124963601,
312,MASJID NAQLIAH,"KAMPUNG PADANG KANGAR, 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,012 5753463,
313,MASJID AR - RAHMANIAH,"KAMPUNG PADANG CHANGKAT,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,124648883,
314,MASJID RAISIAH,"KAMPUNG PADANG TENGGALA,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,019 5739653,
315,MASJID RAUDHATUL JANNAH,"KG. TELUK MANIS LAYANG - LAYANG KIRI,32800 PARIT , PERAK",PERAK,SERI ISKANDAR,019 5119278,
316,MASJID RADHIATUL MARDHIAH,"PEKAN PARIT, 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,016 5542652,
317,MASJID RIDZUANIAH,"LAMBOR KANAN, PERAK",PERAK,SERI ISKANDAR,012 5269441,
318,MASJID AL - SAADAH,"KAMPUNG TUA,TANJUNG BELANJA 32800 PARIT, PERAK",PERAK,SERI ISKANDAR,124156021,
319,MASJID AS-SALAM,"KG. BUKIT CHUPAK,32800 PARIT, PERAK",PERAK,SERI ISKANDAR,013 5203966,
320,MASJID AS SHUKURIAH,"KG. TELOK BAKONG, 32900 LAMBOR KANAN, PERAK",PERAK,SERI ISKANDAR,017-4620527,
321,MASJID TAUFIQIAH,"KG GELUNG PEPUYU,32600 BOTA, PERAK",PERAK,SERI ISKANDAR,195200960,
322,MASJID AL-AMANIAH ATTAIYIBAH,"KAMPONG SERI KELEBANG, 31200 CHEMOR, PERAK",PERAK,IPOH,165588858,
323,MASJID AL-AMANIAH,"KAMPUNG CHEPOR DALAM, 31200 CHEMOR, PERAK",PERAK,IPOH,196191782,
324,MASJID AL-AULIA,"TAMAN SINLOK, JALAN KUALA KANGSAR 30010 IPOH, PERAK",PERAK,IPOH,175588064,
325,MASJID AL-FURQAN,"PERSIARAN PEGOH , TAMAN PENGKALAN JAYA , 31650 IPOH, PERAK",PERAK,IPOH,135202350,
326,MASJID AL-ITTIHADIAH,"JALAN MASJID, KG. TENGKU HUSSEIN BARU, 30020 IPOH, PERAK",PERAK,IPOH,195555428,
327,MASJID AL-MOHSINIAH,"KAMPUNG ULU CHEMOR, CHEMOR, 31200 IPOH, PERAK",PERAK,IPOH,195245377,
328,MASJID AL-MUTTAQIN,"TAMAN MERU, 30020 IPOH, PERAK",PERAK,IPOH,125173974,
329,MASJID AR-RAHMANIAH,"KG. PENGKALAN BARU, KG. KEPAYANG,31300 IPOH,PERAK",PERAK,IPOH,013-4243506,
330,MASJID AS - SYAKIRIN,"KG. TERSUSUN TASEK, 31400 IPOH, PERAK",PERAK,IPOH,192775156,
331,MASJID AL-SYARIFAH,"KG. TASEK, 31400 IPOH, PERAK",PERAK,IPOH,195486246,
332,MASJID GHUFRAN,"JALAN PENGHULU, KG. MANJOI, 30020 IPOH, PERAK",PERAK,IPOH,165418881,
333,MASJID IBNU SALAM,"KG PENGKALAN PEGOH, 31500 LAHAT, IPOH, PERAK",PERAK,IPOH,195586068,
334,MASJID IDRISIAH,"JALAN RAJA ARIF SHAH KG KUALA PARI, 31450 MENGELEMBU, IPOH, PERAK",PERAK,IPOH,195116864,
335,MASJID INDIA MUSLIM IPOH,"NO 3-5 JALAN SEENIVASAGAM, 30450 IPOH, PERAK",PERAK,IPOH,104640313,
336,MASJID JAMEK TANJUNG RAMBUTAN,"PEKAN LAMA TANJUNG RAMBUTAN 31250 IPOH, PERAK",PERAK,IPOH,135217146,
337,MASJID JAMEK AD-DINIAH,"JALAN SRI KINTA 13, KAMPUNG SRI KINTA, 31650 IPOH, PERAK",PERAK,IPOH,125050442,
338,MASJID JAMEK AL-AMIN,"JALAN AMPANG TAMBUN, 31400 IPOH, PERAK",PERAK,IPOH,125273977,
339,MASJID JAMEK CHEMOR,"JALAN BESAR CHEMOR, 31200 CHEMOR, PERAK",PERAK,IPOH,1121831957,
340,MASJID JAMIL AL-KHOLIDI,"KAMPUNG SENGAT, SUNGAI RAIA, 31300 KG KEPAYANG, IPOH, PERAK",PERAK,IPOH,125685271,
341,MASJID JAMEK KG. MELAYU,"JALAN LAPANGAN TERBANG, SUNGAI RAPAT, 31350 IPOH, PERAK",PERAK,IPOH,135000946,
342,MASJID KAMPUNG PASIR PUTEH,"KAMPUNG PASIR PUTEH, 31650 IPOH, PERAK",PERAK,IPOH,125082437,
343,MASJID RAHMANIAH,"KG ULU CHEPOR, 31200 CHEMOR, PERAK",PERAK,IPOH,125880322,
344,MASJID MENGLEMBU,"JALAN LAHAT, MENGLEMBU, 31450 IPOH, PERAK",PERAK,IPOH,125257202,
345,MASJID PALOH,"JALAN DATOH, 30000 IPOH, PERAK",PERAK,IPOH,122311192,
346,MASJID SAIDINA UMAR IBNU AL KHATTAB,"KG TERSUSUN BATU 4, 31400 IPOH, PERAK",PERAK,IPOH,135017687,
347,MASJID AS-SAADAH,"KG. DATO' AHMAD SAID TAMBAHAN 2, 30020 IPOH, PERAK",PERAK,IPOH,195083565,
348,MASJID SULTAN AZLAN SHAH,"JALAN RAJA MUSA MAHADI, 31400 IPOH, PERAK",PERAK,IPOH,135159696,
349,MASJID JAMEK IDRIS ISKANDAR SHAH I,"JALAN ROKAM, KG. SUNGAI ROKAM, 31350 IPOH, PERAK",PERAK,IPOH,123037352,
350,MASJID SULTAN YUSUF,"JALAN RAJA MUSA MAHADI, RAPAT SETIA, 31350 IPOH, PERAK",PERAK,IPOH,195737277,05-3131545
351,MASJID JAMEK TAMAN KELEDANG JAYA,"TAMAN KELEDANG JAYA, 30100 IPOH, PERAK",PERAK,IPOH,165971722,
352,MASJID SOLATIAH,"RAPAT SETIA BARU, 31350 IPOH, PERAK",PERAK,IPOH,195733999,
353,MASJID ABDUL SALAM AL - MAS'UD,"KG. SUNGAI KERAWAI,36000 TELUK INTAN,PERAK",PERAK,TELUK INTAN,135310970,
354,MASJID AHMADIAH,"KG. SUNGAI BATANG 36200,SELEKOH, PERAK",PERAK,BAGAN DATUK,104690041,
355,MASJID AL - A'ALA,"KUNCI AIR BESAR,DEGONG 36600CENDERONG BALAI,PERAK",PERAK,TELUK INTAN,05-6511178,
356,MASJID AL - AMJAD,"KG. SUNGAI TUNGKU, 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,194044615,
357,MASJID AL - ANSAR,"PARIT 2/7L,36600 CHENDERONG BALAI, PERAK",PERAK,TELUK INTAN,013 3639117,
358,MASJID AL - AZIZIAH BATU 20,"KG. BAGAN PASIR36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,195442924,
359,MASJID AL - FALAH,"KG. SUNGAI NIPAH DARAT,36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,195516500,
360,MASJID AL - FALAH,"KAMPUNG PARIT 11 DARAT, 36400 HUTAN MELINTANG, PERAK",PERAK,BAGAN DATUK,194416741,
361,MASJID AL - FALAH,"PARIT 6A,RIZAB KAYU API,SUNGAI MANIK 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,012 5309759,
362,MASJID AL - GHAZALI,"BATU 8, MUKIM TELUK BHARU,36010 TELUK INTAN,PERAK",PERAK,BAGAN DATUK,125406994,
363,MASJID AL - HIDAYAH,"KAMPUNG PERMATANG PELANDUK, 36600 CENDERONG BALAI, PERAK",PERAK,TELUK INTAN,195537332,
364,MASJID AL - HIDAYAH,"KAMPUNG SUNGAI KERANG, 36000 TELUK INTAN ,PERAK",PERAK,TELUK INTAN,193464538,
365,MASJID AL - HUDA,"PARIT 1/ 6 L , LABU KUBONG, 36600 CENDERONG BALAI, PERAK",PERAK,TELUK INTAN,175676560,
366,MASJID AL - KHAIRI,"KG SIMPANG TIGA,36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,175171086,
367,MASJID AL - KHAIRIAH,"KG. BANJAR, 36000 TELUK INTAN,PERAK",PERAK,TELUK INTAN,195755148,
368,MASJID AL - KHAIRIAH,"KG SELEKOH 36200 SELEKOH, PERAK( FT : MAIPK/TI/05/TWM/0053 ) ( FM : MAIPK-TI 800-1/1/218 )",PERAK,BAGAN DATUK,019 2268645/P,
369,MASJID AL - KHAIRIAH WATANIAH,"KG. SUNGAI PERGAM, 36100 BAGAN DATOH, PERAK",PERAK,BAGAN DATUK,05 6467208,
370,MASJID AL -QURO PEKAN BAGAN DATUK,"36100 BAGAN DATOH, PERAK",PERAK,BAGAN DATUK,194706720,
371,MASJID AL - UBUDIAH,"KAMPUNG BARU BATU 16,36300 SUNGAI SUMUN, PERAK",PERAK,BAGAN DATUK,05 6480273,
372,MASJID AL -WASTIAH,"KG. SUNGAI HAJI MOHAMMAD36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,019 5292867,
373,MASJID AL-ZAHIR,"PARIT 12B, SUNGAI MANIK, 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,012 5517122,
374,MASJID AL-AMIR,"KAMPUNG SUNGAI RUBANA,36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,013 6092577,
375,MASJID AN - NAIM,"KAMPUNG CHIKUS 36750 CHIKUS , PERAK",PERAK,TELUK INTAN,019 5630153,
376,MASJID AN-NAIM,"TAMAN SERI SETIA,36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,019 5780705,
377,MASJID AN - NUR,"KG. SUNGAI SAMAK,36400 HUTAN MELINTANG, PERAK",PERAK,BAGAN DATUK,019 6489576,
378,MASJID AR - RAHMANIAH,"KG. SUNGAI LANCHANG 36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,019 5797905,
379,MASJID AS - SAADAH,"BATU 3, KAMPUNG SELABAK 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,05 6215827,
380,MASJID AS - SAADAH,"KG. SUNGAI DULANG DALAM,36300 SG. SUMUN, PERAK",PERAK,BAGAN DATUK,05 6414172,
381,MASJID AS - SAADAH,"KAMPUNG. BAHAGIA, 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,134548096,
382,MASJID AS - SALAM,"KG. TANJUNG KERAMAT, 36700 LANGKAP, PERAK",PERAK,TELUK INTAN,017 5263012,
383,MASJID AT -TAHIRIAH,"KG RUNGKUP KECHIL 36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,011 14698297,
384,MASJID AT - TAQWA,"PARIT 9 BAROH, 36400 HUTAN MELINTANG, PERAK",PERAK,BAGAN DATUK,195491492,
385,MASJID AZIZIAH,"BATU 10, MUKIM TELUK BHARU36400 HUTAN MELINTANG,PERAK",PERAK,BAGAN DATUK,019 5477066,
386,MASJID AZ-ZAHIR,"PARIT 7B, PERMATANG 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,013 5741991,
387,MASJID HIDAYAH HUSNA,"KG. BAGAN LALANG,36400 HUTAN MELINTANG",PERAK,BAGAN DATUK,019 3080632,
388,MASJID HIJRIAH,"KG. TANJUNG SARI,36000 TELUK INTAN, PERAK",PERAK,BAGAN DATUK,05 6231268,
389,MASJID IDRIS SHAH 11,"KG. SUNGAI TIANG BARUH,36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,019 4057000,
390,MASJID ISMAILLIAH,"KG. SUNGAI BETUL,36100 BAGAN DATOH, PERAK",PERAK,BAGAN DATUK,014-3077462,
391,MASJID ISMAILLIAH,"KG. TEBING REBAK36300 SUNGAI SUMUN, PERAK",PERAK,BAGAN DATUK,05-6487811,
